"Total air emissions by greenhouse gas, sector and year"

"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Carbon Dioxide (CO2) (kt)","INTERNATIONAL TRANSPORT, TOTAL",3688.5,3713.5,3857.3,4108.9,4739.9,4818.1,5042.9,5848.7,6713.9,6877.0,6780.8,6615.6,5780.8,7203.2,8314.8,8592.5,9095.9,9217.8,9280.2,9352.5,8976.4,8045.5,7690.4,7442.8,7902.7,7950.5,8877.9,10083.7,8565.3,9672.0,9222.6,8474.9,8795.6,7445.7
"Carbon Dioxide (CO2) (kt)","AGRICULTURE, TOTAL",177.8,140.5,112.9,134.4,161.2,172.9,197.3,178.4,133.8,160.3,159.7,140.0,133.3,129.9,123.2,116.5,89.6,115.6,104.6,114.5,123.8,123.9,142.1,142.6,123.3,124.5,128.1,127.5,128.5,122.8,122.6,122.8,139.2,145.7
"Carbon Dioxide (CO2) (kt)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",180.3,134.2,113.6,141.5,106.9,140.8,131.1,177.8,175.1,239.0,251.6,277.8,273.1,257.2,316.5,299.6,274.4,284.5,324.3,283.7,315.3,283.3,353.1,370.3,359.6,310.1,333.1,343.2,309.1,266.8,217.7,281.6,288.2,282.9
"Carbon Dioxide (CO2) (kt)","HEATING OF HOUSES AND PREMISES, TOTAL",9051.9,8851.3,8098.5,8062.1,8066.4,7677.6,7741.5,6950.1,6840.8,6384.6,6265.5,5455.7,4918.6,4611.0,4320.2,3153.9,2534.2,2313.1,1741.6,1489.4,1664.7,1290.0,1135.0,1016.6,956.7,884.8,822.5,780.7,693.7,681.1,648.9,677.7,623.3,626.9
"Carbon Dioxide (CO2) (kt)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",-61076.6,-60062.0,-59143.4,-55304.8,-56852.5,-56973.0,-59104.7,-60466.4,-61076.9,-61390.5,-62685.1,-63599.7,-63252.4,-61544.0,-58239.5,-59898.4,-64483.5,-65353.4,-63278.3,-62662.2,-63385.8,-62456.4,-60597.8,-60489.7,-59299.0,-56820.8,-53954.1,-47903.6,-41416.6,-41365.6,-40962.2,-38304.9,-35280.9,-32894.4
"Biogenic carbon dioxide (CO2) from fuels (kt)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",22879.5,25569.2,26433.0,28119.2,30425.7,31347.4,33369.7,33078.6,33265.8,33146.4,31475.1,35410.1,36905.7,37051.6,38400.5,39388.3,41170.1,42651.1,43961.5,44492.6,49431.4,45198.8,46286.8,47222.1,45879.2,47326.0,49718.4,51391.8,50505.1,51186.7,50447.9,53104.0,53633.0,52288.9
"Biogenic carbon dioxide (CO2) from fuels (kt)","NATIONAL TOTAL (excluding LULUCF, including international transports)",22879.5,25569.2,26433.0,28119.2,30425.7,31347.4,33369.7,33078.6,33265.8,33146.4,31475.1,35410.1,36905.7,37051.6,38400.5,39388.3,41170.1,42651.1,43961.5,44492.6,49431.4,45198.8,46286.8,47222.1,45879.2,47326.0,49718.4,51391.8,50505.5,51189.3,50449.3,53113.0,53651.6,52322.1
"Biogenic carbon dioxide (CO2) from fuels (kt)","NATIONAL TOTAL (including LULUCF, excluding international transports)",22879.5,25569.2,26433.0,28119.2,30425.7,31347.4,33369.7,33078.6,33265.8,33146.4,31475.1,35410.1,36905.7,37051.6,38400.5,39388.3,41170.1,42651.1,43961.5,44492.6,49431.4,45198.8,46286.8,47222.1,45879.2,47326.0,49718.4,51391.8,50505.1,51186.7,50447.9,53104.0,53633.0,52288.9
"Biogenic carbon dioxide (CO2) from fuels (kt)","NATIONAL TOTAL (including LULUCF, including international transports)",22879.5,25569.2,26433.0,28119.2,30425.7,31347.4,33369.7,33078.6,33265.8,33146.4,31475.1,35410.1,36905.7,37051.6,38400.5,39388.3,41170.1,42651.1,43961.5,44492.6,49431.4,45198.8,46286.8,47222.1,45879.2,47326.0,49718.4,51391.8,50505.5,51189.3,50449.3,53113.0,53651.6,52322.1
"Biogenic carbon dioxide (CO2) from fuels (kt)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,7.5,8.1,4.2,3.3,5.2,8.1,14.8,15.7,46.2,77.7,94.3,116.7,119.7,145.3,204.1,265.2,384.3,483.7,643.1,721.3,775.9,784.2,829.8,923.6,1082.8,1014.9
